generic_name,cardiotoxicity__binary,cardiotoxicity__ternary,dermatological_toxicity__binary,dermatological_toxicity__ternary,hematological__binary,hematological__ternary,infertility__binary,infertility__ternary,liver_toxicity__binary,liver_toxicity__ternary,ototoxicity__binary,ototoxicity__ternary,pulmonary_toxicity__binary,pulmonary_toxicity__ternary,renal_toxicity__binary,renal_toxicity__ternary,SMILES_standardized,SMILES_clean,SMILES_filled,SMILES_source,name_best_query,name_corrected,SMILES_recovered,SMILES_recovered_source,recovery_status,SMILES_recovered_v3,SMILES_recovered_v3_source,recovery_debug_v3
GALLIUM CITRATE GA-67,0,,1,,0,,0,,0,,0,,0,,0,,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ga+3],o=c([o-])cc(o)(cc(=o)[o-])c(=o)[o-].[ga+3],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ga+3],Original,,,,,,,,
GALLIUM GA-68 GOZETOTIDE,0,,0,,0,,0,,0,,0,,0,,0,,O=C([O-])CN(CCN(CC(=O)[O-])Cc1cc(CCC(=O)O)ccc1O)Cc1cc(CCC(=O)NCCCCCC(=O)NCCCCC(NC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)ccc1[O-].[Ga+3],o=c([o-])cn(ccn(cc(=o)[o-])cc1cc(ccc(=o)o)ccc1o)cc1cc(ccc(=o)ncccccc(=o)nccccc(nc(=o)nc(ccc(=o)o)c(=o)o)c(=o)o)ccc1[o-].[ga+3],O=C([O-])CN(CCN(CC(=O)[O-])Cc1cc(CCC(=O)O)ccc1O)Cc1cc(CCC(=O)NCCCCCC(=O)NCCCCC(NC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)ccc1[O-].[Ga+3],Original,,,,,,,,
GALLIUM NITRATE,0,,1,,1,Most,0,,0,,1,Most,1,Most,1,Most,[Ga+3],[ga+3],[Ga+3],Original,,,,,,,,
GANCICLOVIR SODIUM,1,Most,1,Most,1,Most,1,Most,1,Most,1,,1,Most,1,Most,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,nc1nc(o)c2ncn(coc(co)co)c2n1,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,Original,,,,,,,,
GANIRELIX ACETATE,0,,1,Most,1,,0,,0,,0,,0,,0,,CC/N=C(\NCC)NCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCN/C(=N/CC)NCC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,cc/n=c(\ncc)ncccc[c@h](nc(=o)[c@h](cc(c)c)nc(=o)[c@@h](ccccn/c(=n/cc)ncc)nc(=o)[c@h](cc1ccc(o)cc1)nc(=o)[c@h](co)nc(=o)[c@@h](cc1cccnc1)nc(=o)[c@@h](cc1ccc(cl)cc1)nc(=o)[c@@h](cc1ccc2ccccc2c1)nc(c)=o)c(=o)n1ccc[c@h]1c(=o)n[c@h](c)c(n)=o,CC/N=C(\NCC)NCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCN/C(=N/CC)NCC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Original,,,,,,,,
GEFITINIB,0,,1,Most,1,,1,Most,1,Most,0,,1,Most,0,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,coc1cc2ncnc(nc3ccc(f)c(cl)c3)c2cc1occcn1ccocc1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,Original,,,,,,,,
GEMCITABINE,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,Most,1,Most,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,nc1ccn([c@@h]2o[c@h](co)[c@@h](o)c2(f)f)c(=o)n1,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,Original,,,,,,,,
GEMFIBROZIL,1,,1,Most,1,Most,1,Most,1,Most,0,,0,,1,Most,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,cc1ccc(c)c(occcc(c)(c)c(=o)o)c1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Original,,,,,,,,
GEMIFLOXACIN MESYLATE,1,Most,1,Most,1,Most,0,,1,,0,,1,,1,Most,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,co/n=c1\cn(c2nc3c(cc2f)c(=o)c(c(=o)o)cn3c2cc2)cc1cn,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,Original,,,,,,,,
GILTERITINIB,1,Most,1,Most,1,,1,Most,1,Most,0,,1,Most,1,Most,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,ccc1nc(c(n)=o)c(nc2ccc(n3ccc(n4ccn(c)cc4)cc3)c(oc)c2)nc1nc1ccocc1,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,Original,,,,,,,,
GIVOSIRAN SODIUM,0,,1,Most,1,,0,,1,Most,0,,0,,1,Most,Not found,not found,O=N[O-].[Na+],ChEMBL,GIVOSIRAN SODIUM,GIVOSIRAN SODIUM,O=N[O-].[Na+],ChEMBL,found_chembl | variants_tried=2,,,
GLASDEGIB,1,Most,1,Most,1,Most,1,Most,0,,0,,1,,1,Most,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,cn1cc[c@@h](nc(=o)nc2ccc(c#n)cc2)c[c@@h]1c1nc2ccccc2[nh]1,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,Original,,,,,,,,
GLATIRAMER ACETATE,1,Most,1,Most,1,Most,0,,1,Most,0,,1,Most,0,,CC(N)C(=O)O.NC(CCC(=O)O)C(=O)O.NC(Cc1ccc(O)cc1)C(=O)O.NCCCCC(N)C(=O)O,cc(n)c(=o)o.nc(ccc(=o)o)c(=o)o.nc(cc1ccc(o)cc1)c(=o)o.nccccc(n)c(=o)o,CC(N)C(=O)O.NC(CCC(=O)O)C(=O)O.NC(Cc1ccc(O)cc1)C(=O)O.NCCCCC(N)C(=O)O,Original,,,,,,,,
GLIMEPIRIDE,1,Most,1,Most,1,Most,0,,1,,0,,0,,0,,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,ccc1=c(c)cn(c(=o)nccc2ccc(s(=o)(=o)nc(=o)n[c@h]3cc[c@h](c)cc3)cc2)c1=o,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,Original,,,,,,,,
GLIPIZIDE,1,Most,1,,1,Most,0,,1,Most,0,,0,,0,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,cc1cnc(c(=o)nccc2ccc(s(=o)(=o)nc(=o)nc3ccccc3)cc2)cn1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Original,,,,,,,,
GLUCAGON,1,Most,1,,0,,0,,0,,0,,0,,0,,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,csccc(nc(=o)c(cc(c)c)nc(=o)c(cc1c[nh]c2ccccc12)nc(=o)c(ccc(n)=o)nc(=o)c(nc(=o)c(cc1ccccc1)nc(=o)c(cc(=o)o)nc(=o)c(ccc(n)=o)nc(=o)c(c)nc(=o)c(cccnc(=n)n)nc(=o)c(cccnc(=n)n)nc(=o)c(co)nc(=o)c(cc(=o)o)nc(=o)c(cc(c)c)nc(=o)c(cc1ccc(o)cc1)nc(=o)c(ccccn)nc(=o)c(co)nc(=o)c(cc1ccc(o)cc1)nc(=o)c(cc(=o)o)nc(=o)c(co)nc(=o)c(nc(=o)c(cc1ccccc1)nc(=o)c(nc(=o)cnc(=o)c(ccc(n)=o)nc(=o)c(co)nc(=o)c(n)cc1cnc[nh]1)c(c)o)c(c)o)c(c)c)c(=o)nc(cc(n)=o)c(=o)nc(c(=o)o)c(c)o,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,Original,,,,,,,,
GLUCAGON HYDROCHLORIDE,1,Most,1,Most,0,,0,,0,,0,,0,,0,,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,csccc(nc(=o)c(cc(c)c)nc(=o)c(cc1c[nh]c2ccccc12)nc(=o)c(ccc(n)=o)nc(=o)c(nc(=o)c(cc1ccccc1)nc(=o)c(cc(=o)o)nc(=o)c(ccc(n)=o)nc(=o)c(c)nc(=o)c(cccnc(=n)n)nc(=o)c(cccnc(=n)n)nc(=o)c(co)nc(=o)c(cc(=o)o)nc(=o)c(cc(c)c)nc(=o)c(cc1ccc(o)cc1)nc(=o)c(ccccn)nc(=o)c(co)nc(=o)c(cc1ccc(o)cc1)nc(=o)c(cc(=o)o)nc(=o)c(co)nc(=o)c(nc(=o)c(cc1ccccc1)nc(=o)c(nc(=o)cnc(=o)c(ccc(n)=o)nc(=o)c(co)nc(=o)c(n)cc1cnc[nh]1)c(c)o)c(c)o)c(c)c)c(=o)nc(cc(n)=o)c(=o)nc(c(=o)o)c(c)o,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,Original,,,,,,,,
GLUTAMINE,0,,0,,0,,0,,0,,0,,0,,0,,NC(=O)CC[C@H](N)C(=O)O,nc(=o)cc[c@h](n)c(=o)o,NC(=O)CC[C@H](N)C(=O)O,Original,,,,,,,,
GLYBURIDE,1,Most,1,Most,1,Most,0,,1,,0,,0,,0,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,coc1ccc(cl)cc1c(=o)nccc1ccc(s(=o)(=o)nc(=o)nc2ccccc2)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,Original,,,,,,,,
GLYCEROL PHENYLBUTYRATE,0,,1,Most,1,Most,1,,1,,1,Most,0,,0,,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,o=c(cccc1ccccc1)occ(coc(=o)cccc1ccccc1)oc(=o)cccc1ccccc1,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,Original,,,,,,,,
GLYCOPYRROLATE,1,Most,1,,0,,1,Most,0,,0,,0,,0,,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,c[n+]1(c)ccc(oc(=o)c(o)(c2ccccc2)c2cccc2)c1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,Original,,,,,,,,
GOLODIRSEN,0,,1,Most,0,,0,,0,,0,,0,,1,Most,Not found,not found,,NotFound,GOLODIRSEN,GOLODIRSEN,,,not_found | variants_tried=1,,,
GOSERELIN,1,Most,1,Most,1,,1,Most,1,,0,,0,,0,,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,cc(c)c[c@h](nc(=o)[c@@h](coc(c)(c)c)nc(=o)[c@h](cc1ccc(o)cc1)nc(=o)[c@h](co)nc(=o)[c@h](cc1c[nh]c2ccccc12)nc(=o)[c@h](cc1cnc[nh]1)nc(=o)[c@@h]1ccc(=o)n1)c(=o)n[c@@h](cccnc(=n)n)c(=o)n1ccc[c@h]1c(=o)nnc(n)=o,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Original,,,,,,,,
GRANISETRON HYDROCHLORIDE,1,Most,1,,0,,0,,1,,0,,0,,0,,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,cn1c2cccc1cc(nc(=o)c1nn(c)c3ccccc13)c2,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,Original,,,,,,,,
GUANFACINE,1,Most,1,,0,,0,,0,,0,,0,,0,,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,n=c(n)nc(=o)cc1c(cl)cccc1cl,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,Original,,,,,,,,
HALOPERIDOL,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,Most,0,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,o=c(cccn1ccc(o)(c2ccc(cl)cc2)cc1)c1ccc(f)cc1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Original,,,,,,,,
HALOPERIDOL DECANOATE,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,Most,0,,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,cccccccccc(=o)oc1(c2ccc(cl)cc2)ccn(cccc(=o)c2ccc(f)cc2)cc1,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,Original,,,,,,,,
HALOPERIDOL LACTATE,1,Most,1,Most,1,Most,1,,1,Most,0,,1,Most,0,,CC(O)C(=O)O.O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,cc(o)c(=o)o.o=c(cccn1ccc(o)(c2ccc(cl)cc2)cc1)c1ccc(f)cc1,CC(O)C(=O)O.O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Original,,,,,,,,
HEPARIN SODIUM,0,Most,1,Most,1,Most,0,,1,,0,,0,,0,,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O,cc(=o)nc1c(o)oc(cos(=o)(=o)o)c(oc2oc(c(=o)o)c(oc3oc(co)c(oc4oc(c(=o)o)c(o)c(o)c4os(=o)(=o)o)c(os(=o)(=o)o)c3ns(=o)(=o)o)c(o)c2os(=o)(=o)o)c1o,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O,Original,,,,,,,,
HETASTARCH,1,Most,1,Most,1,Most,0,,0,,0,,1,,1,Most,Not found,not found,,NotFound,HETASTARCH,HETASTARCH,,,not_found | variants_tried=1,,None,no_hit | variants=['HETASTARCH']
HEXAMINOLEVULINATE HYDROCHLORIDE,0,,1,Most,0,,0,,0,,0,,0,,0,,CCCCCCOC(=O)CCC(=O)CN,ccccccoc(=o)ccc(=o)cn,CCCCCCOC(=O)CCC(=O)CN,Original,,,,,,,,
HISTRELIN ACETATE,0,,1,Most,0,,1,,0,,0,,0,,0,,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,ccnc(=o)[c@@h]1cccn1c(=o)[c@h](cccnc(=n)n)nc(=o)[c@h](cc(c)c)nc(=o)[c@@h](cc1cn(cc2ccccc2)cn1)nc(=o)[c@h](cc1ccc(o)cc1)nc(=o)[c@h](co)nc(=o)[c@h](cc1c[nh]c2ccccc12)nc(=o)[c@h](cc1cnc[nh]1)nc(=o)[c@@h]1ccc(=o)n1,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,Original,,,,,,,,
HUMAN SECRETIN,0,,0,,0,,0,,0,,0,,0,,0,,CC(C)CC(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(=O)NC(C(N)=O)C(C)C,cc(c)cc(nc(=o)cnc(=o)c(ccc(n)=o)nc(=o)c(cc(c)c)nc(=o)c(cc(c)c)nc(=o)c(cccnc(=n)n)nc(=o)c(ccc(n)=o)nc(=o)c(cc(c)c)nc(=o)c(cccnc(=n)n)nc(=o)c(c)nc(=o)cnc(=o)c(ccc(=o)o)nc(=o)c(cccnc(=n)n)nc(=o)c(cc(c)c)nc(=o)c(cccnc(=n)n)nc(=o)c(co)nc(=o)c(cc(c)c)nc(=o)c(ccc(=o)o)nc(=o)c(co)nc(=o)c(nc(=o)c(cc1ccccc1)nc(=o)c(nc(=o)cnc(=o)c(cc(=o)o)nc(=o)c(co)nc(=o)c(n)cc1c[nh]cn1)c(c)o)c(c)o)c(=o)nc(c(n)=o)c(c)c,CC(C)CC(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(=O)NC(C(N)=O)C(C)C,Original,,,,,,,,
HYALURONIC ACID,0,,0,,0,,0,,0,,0,,0,,0,,Not found,not found,[Na+].[Na+].CC(=O)NC1C(O)OC(CO)C(O)C1OC2OC(C(OC3OC(CO)C(O)C(OC4OC(C(O)C(O)C4O)C([O-])=O)C3NC(C)=O)C(O)C2O)C([O-])=O,NCI/Cactus,,,,,,,,
HYDRALAZINE HYDROCHLORIDE,1,Most,1,,1,Most,0,,1,,0,,0,,1,,NNc1nncc2ccccc12,nnc1nncc2ccccc12,NNc1nncc2ccccc12,Original,,,,,,,,
HYDROCHLOROTHIAZIDE,1,Most,1,Most,1,Most,0,,1,,0,,1,,1,Most,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,ns(=o)(=o)c1cc2c(cc1cl)ncns2(=o)=o,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,Original,,,,,,,,
HYDROCODONE BITARTRATE,1,Most,1,,0,,1,,0,,0,,1,Most,0,,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O=C(O)C(O)C(O)C(=O)O,coc1ccc2c3c1o[c@h]1c(=o)cc[c@h]4[c@@h](c2)n(c)cc[c@]314.o=c(o)c(o)c(o)c(=o)o,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O=C(O)C(O)C(O)C(=O)O,Original,,,,,,,,
HYDROCORTISONE,1,Most,1,Most,0,,1,,0,,0,,0,,0,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,c[c@]12ccc(=o)c=c1cc[c@@h]1[c@@h]2[c@@h](o)c[c@@]2(c)[c@h]1cc[c@]2(o)c(=o)co,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Original,,,,,,,,
HYDROCORTISONE SODIUM SUCCINATE,1,Most,1,Most,1,,1,Most,1,,0,,1,,1,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,c[c@]12ccc(=o)c=c1cc[c@@h]1[c@@h]2[c@@h](o)c[c@@]2(c)[c@h]1cc[c@]2(o)c(=o)coc(=o)ccc(=o)o,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,Original,,,,,,,,
HYDROMORPHONE HYDROCHLORIDE,0,,1,,0,,1,Most,0,,0,,1,Most,1,Most,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,cn1cc[c@]23c4c5ccc(o)c4o[c@h]2c(=o)cc[c@h]3[c@h]1c5,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,Original,,,,,,,,
HYDROXOCOBALAMIN,1,,1,Most,0,,0,,0,,0,,1,,1,Most,CC1=C2N=C(C=C3N=C(C(C)=C4NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co+3],cc1=c2n=c(c=c3n=c(c(c)=c4nc(c(cc(n)=o)c4(c)ccc(=o)ncc(c)op(=o)(o)oc4c(co)oc(n5cnc6cc(c)c(c)cc65)c4o)c4(c)n=c1c(ccc(n)=o)c4(c)cc(n)=o)c(ccc(n)=o)c3(c)c)c(ccc(n)=o)c2(c)cc(n)=o.[co+3],CC1=C2N=C(C=C3N=C(C(C)=C4NC(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co+3],Original,,,,,,,,
